,zip_code,distance,city,state
92,90280,8.322000000000001,"""South Gate""","""CA"""
362,91201,8.362,"""Glendale""","""CA"""
181,90034,8.408,"""Los Angeles""","""CA"""
111,90397,8.417,"""Inglewood""","""CA"""
110,90313,8.417,"""Inglewood""","""CA"""
109,90312,8.417,"""Inglewood""","""CA"""
112,90398,8.417,"""Inglewood""","""CA"""
228,90212,8.421,"""Beverly Hills""","""CA"""
305,91124,8.497,"""Pasadena""","""CA"""
306,91129,8.497,"""Pasadena""","""CA"""
304,91123,8.497,"""Pasadena""","""CA"""
339,91523,8.554,"""Burbank""","""CA"""
168,90640,8.631,"""Montebello""","""CA"""
134,90233,8.748,"""Culver City""","""CA"""
79,90059,8.754,"""Los Angeles""","""CA"""
114,90202,8.789,"""Bell""","""CA"""
146,90230,8.802,"""Culver City""","""CA"""
338,91507,8.847000000000001,"""Burbank""","""CA"""
373,91207,8.876,"""Glendale""","""CA"""
140,90231,8.88,"""Culver City""","""CA"""
107,90301,8.923,"""Inglewood""","""CA"""
309,91188,8.924,"""Pasadena""","""CA"""
307,91102,8.924,"""Pasadena""","""CA"""
308,91182,8.924,"""Pasadena""","""CA"""
87,90303,8.951,"""Inglewood""","""CA"""
100,90306,8.957,"""Inglewood""","""CA"""
101,90308,8.957,"""Inglewood""","""CA"""
102,90311,8.957,"""Inglewood""","""CA"""
355,91506,8.979,"""Burbank""","""CA"""
325,91131,9.001,"""Pasadena""","""CA"""
324,91110,9.001,"""Pasadena""","""CA"""
326,91191,9.001,"""Pasadena""","""CA"""
211,90067,9.091000000000001,"""Los Angeles""","""CA"""
364,91502,9.111,"""Burbank""","""CA"""
371,91503,9.149,"""Burbank""","""CA"""
76,90061,9.158,"""Los Angeles""","""CA"""
343,91109,9.184,"""Pasadena""","""CA"""
374,91208,9.215,"""Glendale""","""CA"""
316,91101,9.265,"""Pasadena""","""CA"""
81,90310,9.266,"""Inglewood""","""CA"""
310,91116,9.343,"""Pasadena""","""CA"""
328,91602,9.353,"""North Hollywood""","""CA"""
299,91106,9.392999999999999,"""Pasadena""","""CA"""
291,91126,9.395,"""Pasadena""","""CA"""
290,91125,9.395,"""Pasadena""","""CA"""
322,91610,9.404,"""Toluca Lake""","""CA"""
360,91510,9.434,"""Burbank""","""CA"""
284,91108,9.453,"""San Marino""","""CA"""
267,91778,9.464,"""San Gabriel""","""CA"""
78,90262,9.467,"""Lynwood""","""CA"""
261,91776,9.516,"""San Gabriel""","""CA"""
354,91103,9.562999999999999,"""Pasadena""","""CA"""
99,90307,9.699,"""Inglewood""","""CA"""
185,90064,9.704,"""Los Angeles""","""CA"""
268,90210,9.722000000000001,"""Beverly Hills""","""CA"""
73,90222,9.775,"""Compton""","""CA"""
301,91614,9.801,"""Studio City""","""CA"""
230,91770,9.812000000000001,"""Rosemead""","""CA"""
363,91505,9.869,"""Burbank""","""CA"""
337,91603,9.907,"""North Hollywood""","""CA"""
86,90304,9.92,"""Inglewood""","""CA"""
313,91604,9.967,"""Studio City""","""CA"""
224,91772,10.048,"""Rosemead""","""CA"""
223,91771,10.048,"""Rosemead""","""CA"""
378,91508,10.171,"""Burbank""","""CA"""
379,91526,10.171,"""Burbank""","""CA"""
344,91114,10.286,"""Pasadena""","""CA"""
106,90240,10.325,"""Downey""","""CA"""
231,90024,10.335999999999999,"""Los Angeles""","""CA"""
390,91021,10.360999999999999,"""Montrose""","""CA"""
139,90060,10.401,"""Los Angeles""","""CA"""
138,90660,10.445,"""Pico Rivera""","""CA"""
278,91775,10.47,"""San Gabriel""","""CA"""
353,91601,10.475,"""North Hollywood""","""CA"""
98,90083,10.514000000000001,"""Los Angeles""","""CA"""
97,90080,10.514000000000001,"""Los Angeles""","""CA"""
282,91118,10.519,"""San Marino""","""CA"""
88,90009,10.583,"""Los Angeles""","""CA"""
89,90241,10.605,"""Downey""","""CA"""
393,91501,10.632,"""Burbank""","""CA"""
152,90066,10.637,"""Los Angeles""","""CA"""
150,90661,10.684000000000001,"""Pico Rivera""","""CA"""
129,90094,10.718,"""Playa Vista""","""CA"""
349,91104,10.804,"""Pasadena""","""CA"""
391,91012,10.831,"""La Canada Flintridge""","""CA"""
239,90095,10.864,"""Los Angeles""","""CA"""
74,90250,10.925999999999998,"""Hawthorne""","""CA"""
194,90025,10.935,"""Los Angeles""","""CA"""
398,91046,10.982000000000001,"""Verdugo City""","""CA"""
68,90249,11.03,"""Gardena""","""CA"""
397,91020,11.04,"""Montrose""","""CA"""
336,91617,11.113,"""Valley Village""","""CA"""
77,90242,11.187000000000001,"""Downey""","""CA"""
361,91199,11.194,"""Pasadena""","""CA"""
311,91117,11.196,"""Pasadena""","""CA"""
394,91504,11.239,"""Burbank""","""CA"""
370,91609,11.323,"""North Hollywood""","""CA"""
372,91003,11.323,"""Altadena""","""CA"""
350,91607,11.383,"""Valley Village""","""CA"""
115,90662,11.424000000000001,"""Pico Rivera""","""CA"""
61,90223,11.432,"""Compton""","""CA"""
