,zip_code,distance,city,state
5,80124,16.162,"""Lone Tree""","""CO"""
144,80027,16.211,"""Louisville""","""CO"""
43,80018,16.938,"""Aurora""","""CO"""
122,80403,17.072,"""Golden""","""CO"""
32,80457,17.16,"""Kittredge""","""CO"""
125,80249,17.504,"""Denver""","""CO"""
145,80601,17.660999999999998,"""Brighton""","""CO"""
3,80127,17.672,"""Littleton""","""CO"""
2,80125,18.671,"""Littleton""","""CO"""
18,80016,18.673,"""Aurora""","""CO"""
149,80026,18.792,"""Lafayette""","""CO"""
147,80303,18.977999999999998,"""Boulder""","""CO"""
1,80131,19.042,"""Louviers""","""CO"""
141,80025,19.989,"""Eldorado Springs""","""CO"""
150,,,,
